IP;MAC;model;device_id;Shelly_ID;UV;UV_Position;UV_Klemme;desired_device_name;channel;output;target_room;target_type;cable;wire;position_in_frame;SD_Nr_Vorschlag;SD_Nr_Bestaetigt;location_short;desired_channel_name;Aufkleber_Steckdose;Ptouch_Drucken;Pruefstatus;Hinweis
192.168.178.158;5C:01:3B:04:CA:20;SPSW-204PE16EU;shellypro4pm-5c013b04ca20;20;Küche;Rechts;29;SH-4PM-20-UV-KU-R;2;O3;WZ;Steckdose;WZ-SD-EZ-KÜ;Br;A;3;;EZ-KUE;WZ-20-2-SD03-A-EZ-KUE;WZ-SD03-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.158;5C:01:3B:04:CA:20;SPSW-204PE16EU;shellypro4pm-5c013b04ca20;20;Küche;Rechts;30;SH-4PM-20-UV-KU-R;3;O4;WZ;Steckdose;WZ-SD-EZ-KÜ;Sw;B;3;;EZ-KUE;WZ-20-3-SD03-B-EZ-KUE;WZ-SD03-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.159;EC:E3:34:E5:66:84;SPSW-204PE16EU;shellypro4pm-ece334e56684;21;Küche;Rechts;31;SH-4PM-21-UV-KU-R;0;O1;WZ;Steckdose;WZ-SD-EZ-KÜ;Gr;C;3;;EZ-KUE;WZ-21-0-SD03-C-EZ-KUE;WZ-SD03-C;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.159;EC:E3:34:E5:66:84;SPSW-204PE16EU;shellypro4pm-ece334e56684;21;Küche;Rechts;32;SH-4PM-21-UV-KU-R;1;O2;WZ;Steckdose;WZ-SD-TV-Links;Br;A;4;;TV-LINKS;WZ-21-1-SD04-A-TV-LINKS;WZ-SD04-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.159;EC:E3:34:E5:66:84;SPSW-204PE16EU;shellypro4pm-ece334e56684;21;Küche;Rechts;33;SH-4PM-21-UV-KU-R;2;O3;WZ;Steckdose;WZ-SD-TV-Links;Sw;B;4;;TV-LINKS;WZ-21-2-SD04-B-TV-LINKS;WZ-SD04-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.159;EC:E3:34:E5:66:84;SPSW-204PE16EU;shellypro4pm-ece334e56684;21;Küche;Rechts;34;SH-4PM-21-UV-KU-R;3;O4;WZ;Steckdose;WZ-SD-TV-Links;Gr;C;4;;TV-LINKS;WZ-21-3-SD04-C-TV-LINKS;WZ-SD04-C;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.160;14:33:5C:C5:57:68;SPSW-204PE16EU;shellypro4pm-14335cc55768;22;Küche;Rechts;35;SH-4PM-22-UV-KU-R;0;O1;WZ;Steckdose;WZ-SD-TV-Rechts;Br;A;5;;TV-RECHTS;WZ-22-0-SD05-A-TV-RECHTS;WZ-SD05-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.160;14:33:5C:C5:57:68;SPSW-204PE16EU;shellypro4pm-14335cc55768;22;Küche;Rechts;36;SH-4PM-22-UV-KU-R;1;O2;WZ;Steckdose;WZ-SD-TV-Rechts;Sw;B;5;;TV-RECHTS;WZ-22-1-SD05-B-TV-RECHTS;WZ-SD05-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.160;14:33:5C:C5:57:68;SPSW-204PE16EU;shellypro4pm-14335cc55768;22;Küche;Rechts;37;SH-4PM-22-UV-KU-R;2;O3;WZ;Steckdose;WZ-SD-TV-Rechts;Gr;C;5;;TV-RECHTS;WZ-22-2-SD05-C-TV-RECHTS;WZ-SD05-C;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.160;14:33:5C:C5:57:68;SPSW-204PE16EU;shellypro4pm-14335cc55768;22;Küche;Rechts;38;SH-4PM-22-UV-KU-R;3;O4;WZ;Steckdose;WZ-SD-TE-Links;Br;A;6;;TE-LINKS;WZ-22-3-SD06-A-TE-LINKS;WZ-SD06-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.157;EC:E3:34:E5:56:84;SPSW-204PE16EU;shellypro4pm-ece334e55684;23;Küche;Rechts;39;SH-4PM-23-UV-KU-R;0;O1;WZ;Steckdose;WZ-SD-TE-Links;Sw;B;6;;TE-LINKS;WZ-23-0-SD06-B-TE-LINKS;WZ-SD06-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.157;EC:E3:34:E5:56:84;SPSW-204PE16EU;shellypro4pm-ece334e55684;23;Küche;Rechts;40;SH-4PM-23-UV-KU-R;1;O2;WZ;Steckdose;WZ-SD-TE-Links;Gr;C;6;;TE-LINKS;WZ-23-1-SD06-C-TE-LINKS;WZ-SD06-C;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.157;EC:E3:34:E5:56:84;SPSW-204PE16EU;shellypro4pm-ece334e55684;23;Küche;Rechts;41;SH-4PM-23-UV-KU-R;2;O3;WZ;Steckdose;WZ-SD-TE-Rechts/Küche;Br;A;7;;TE-RECHTS-KUECHE;WZ-23-2-SD07-A-TE-RECHTS-KUECHE;WZ-SD07-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.157;EC:E3:34:E5:56:84;SPSW-204PE16EU;shellypro4pm-ece334e55684;23;Küche;Rechts;42;SH-4PM-23-UV-KU-R;3;O4;WZ;Steckdose;WZ-SD-TE-Rechts/Küche;Sw;B;7;;TE-RECHTS-KUECHE;WZ-23-3-SD07-B-TE-RECHTS-KUECHE;WZ-SD07-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.143;EC:E3:34:E9:4C:5C;SPSW-204PE16EU;shellypro4pm-ece334e94c5c;24;Küche;Rechts;43;SH-4PM-24-UV-KU-R;0;O1;WZ;Steckdose;WZ-SD-TE-Rechts/Küche;Gr;C;7;;TE-RECHTS-KUECHE;WZ-24-0-SD07-C-TE-RECHTS-KUECHE;WZ-SD07-C;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.143;EC:E3:34:E9:4C:5C;SPSW-204PE16EU;shellypro4pm-ece334e94c5c;24;Küche;Rechts;44;SH-4PM-24-UV-KU-R;1;O2;WZ;Steckdose;WZ-SD-TE-Mitte;Br;A;8;;TE-MITTE;WZ-24-1-SD08-A-TE-MITTE;WZ-SD08-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.143;EC:E3:34:E9:4C:5C;SPSW-204PE16EU;shellypro4pm-ece334e94c5c;24;Küche;Rechts;45;SH-4PM-24-UV-KU-R;2;O3;WZ;Steckdose;WZ-SD-TE-Mitte;Sw;B;8;;TE-MITTE;WZ-24-2-SD08-B-TE-MITTE;WZ-SD08-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.143;EC:E3:34:E9:4C:5C;SPSW-204PE16EU;shellypro4pm-ece334e94c5c;24;Küche;Rechts;46;SH-4PM-24-UV-KU-R;3;O4;WZ;Steckdose;WZ-SD-TE-Mitte;Gr;C;8;;TE-MITTE;WZ-24-3-SD08-C-TE-MITTE;WZ-SD08-C;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.

